"Reference","Value","Footprint"
"C1_1","330nF film","Capacitor_THT:C_Rect_L10.3mm_W5.7mm_P7.50mm_MKS4"
"C1_2","220nF film","Capacitor_THT:C_Rect_L10.3mm_W5.7mm_P7.50mm_MKS4"
"C1_3,C2_1","150nF film","Capacitor_THT:C_Rect_L10.3mm_W5.7mm_P7.50mm_MKS4,Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2"
"C2_2","100nF film","Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2"
"C2_3","68nF film","Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2"
"C10,C11,C15","100uF/50V","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm"
"C12-C14","100nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm"
"C_in1,C_in2","2.2uF film","Capacitor_THT:C_Rect_L18.0mm_W9.0mm_P15.00mm_FKS3_FKP3"
"C_out1","10uF/50V","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm"
"J1","IN L","TerminalBlock:TerminalBlock_bornier-2_P5.08mm"
"J2","IN R","TerminalBlock:TerminalBlock_bornier-2_P5.08mm"
"J3","OUT 3.5mm","TerminalBlock:TerminalBlock_bornier-3_P5.08mm"
"J4","PWR IN 15V","TerminalBlock:TerminalBlock_bornier-2_P5.08mm"
"J5","POLARITY SW","TerminalBlock:TerminalBlock_bornier-3_P5.08mm"
"J6","LEVEL POT 10k","TerminalBlock:TerminalBlock_bornier-3_P5.08mm"
"JP1","C1 select","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical"
"JP2","C2 select","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical"
"JP3","GND lift","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical"
"R1_1,R1_2","16k5","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal"
"R2","8k25","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal"
"R3,R4,R8,R9","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal"
"R5,R6","100R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal"
"R7","10R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal"
"R_b1,R_b2","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal"
"U1","TL074","Package_DIP:DIP-14_W7.62mm_LongPads"
"U2","LM7812","energy_system:TO-220-3_Vertical_LaserPads"
