hz,v_rms_per_rthz
5.00,7.6611e-06
6.00,6.4941e-06
7.00,6.8870e-06
8.00,5.1012e-06
9.00,5.7927e-06
10.00,4.8694e-06
11.00,4.6652e-06
12.00,3.6630e-06
13.00,3.7134e-06
14.00,3.5782e-06
15.00,3.9692e-06
16.00,4.4150e-06
17.00,5.5498e-06
18.00,3.9258e-06
19.00,2.8281e-06
20.00,3.2835e-06
21.00,4.2265e-06
22.00,3.1686e-06
23.00,2.7320e-06
24.00,3.6474e-06
25.00,3.7253e-06
26.00,3.8237e-06
27.00,3.2888e-06
28.00,3.3101e-06
29.00,2.8377e-06
30.00,3.3279e-06
31.00,3.3265e-06
32.00,2.5011e-06
33.00,2.6667e-06
34.00,2.8161e-06
35.00,2.8584e-06
36.00,3.1768e-06
37.00,3.4075e-06
38.00,3.1344e-06
39.00,2.4400e-06
40.00,2.2990e-06
41.00,2.1174e-06
42.00,2.3008e-06
43.00,2.9231e-06
44.00,2.9975e-06
45.00,2.4153e-06
46.00,2.4642e-06
47.00,2.9388e-06
48.00,2.4844e-06
49.00,1.6310e-05
50.00,3.1590e-05
51.00,1.5630e-05
52.00,2.2424e-06
53.00,2.7018e-06
54.00,2.7698e-06
55.00,2.3979e-06
56.00,2.6862e-06
57.00,2.5594e-06
58.00,2.2573e-06
59.00,2.0164e-06
60.00,1.9171e-06
61.00,2.0835e-06
62.00,2.2221e-06
63.00,2.3575e-06
64.00,1.8790e-06
65.00,2.2144e-06
66.00,2.2450e-06
67.00,2.1741e-06
68.00,2.0316e-06
69.00,2.3515e-06
70.00,2.4661e-06
71.00,2.6459e-06
72.00,2.5031e-06
73.00,2.0986e-06
74.00,1.7784e-06
75.00,2.1133e-06
76.00,2.2307e-06
77.00,2.3913e-06
78.00,1.5169e-06
79.00,1.4155e-06
80.00,1.8615e-06
81.00,1.9684e-06
82.00,2.1387e-06
83.00,2.1899e-06
84.00,2.1590e-06
85.00,2.4096e-06
86.00,2.0750e-06
87.00,1.9690e-06
88.00,1.9202e-06
89.00,1.5012e-06
90.00,1.6520e-06
91.00,1.7403e-06
92.00,1.5566e-06
