hz,v_rms_per_rthz
5.00,1.8950e-05
6.00,1.5942e-05
7.00,1.1426e-05
8.00,1.1799e-05
9.00,1.0582e-05
10.00,8.6594e-06
11.00,6.9327e-06
12.00,5.9714e-06
13.00,6.0206e-06
14.00,6.7902e-06
15.00,5.6667e-06
16.00,7.2322e-06
17.00,6.7366e-06
18.00,4.5908e-06
19.00,4.7244e-06
20.00,5.7147e-06
21.00,6.0920e-06
22.00,5.7684e-06
23.00,3.8791e-06
24.00,4.3817e-06
25.00,4.7829e-06
26.00,4.2300e-06
27.00,3.7448e-06
28.00,4.3429e-06
29.00,4.5434e-06
30.00,4.1043e-06
31.00,3.6092e-06
32.00,2.8949e-06
33.00,3.8805e-06
34.00,3.8572e-06
35.00,3.6126e-06
36.00,3.6568e-06
37.00,3.8783e-06
38.00,3.2160e-06
39.00,3.8362e-06
40.00,4.1770e-06
41.00,3.2797e-06
42.00,3.6781e-06
43.00,3.9215e-06
44.00,3.4523e-06
45.00,3.4070e-06
46.00,3.2772e-06
47.00,2.8281e-06
48.00,2.8122e-06
49.00,2.4003e-05
50.00,4.5627e-05
51.00,2.1625e-05
52.00,3.8060e-06
53.00,2.9674e-06
54.00,3.0420e-06
55.00,2.9624e-06
56.00,2.4014e-06
57.00,2.4685e-06
58.00,2.6648e-06
59.00,3.3782e-06
60.00,3.5450e-06
61.00,2.8410e-06
62.00,3.1096e-06
63.00,2.5361e-06
64.00,2.1775e-06
65.00,2.2584e-06
66.00,2.9551e-06
67.00,2.5500e-06
68.00,2.4338e-06
69.00,2.6276e-06
70.00,2.7303e-06
71.00,2.2582e-06
72.00,2.5669e-06
73.00,2.0338e-06
74.00,1.9063e-06
75.00,2.2331e-06
76.00,2.7833e-06
77.00,2.6639e-06
78.00,2.3905e-06
79.00,2.4840e-06
80.00,2.6950e-06
81.00,2.5280e-06
82.00,2.4991e-06
83.00,2.6360e-06
84.00,2.3545e-06
85.00,1.9090e-06
86.00,2.5014e-06
87.00,2.2043e-06
88.00,2.3364e-06
89.00,2.2562e-06
90.00,1.7477e-06
91.00,1.7596e-06
92.00,2.0098e-06
93.00,2.1933e-06
94.00,2.1166e-06
95.00,2.1271e-06
96.00,2.0485e-06
97.00,1.5499e-06
98.00,1.5871e-06
99.00,2.2415e-06
100.00,2.8600e-06
101.00,2.2779e-06
102.00,2.0627e-06
103.00,2.0807e-06
104.00,2.0584e-06
105.00,2.0897e-06
106.00,1.9542e-06
107.00,1.9038e-06
108.00,1.9837e-06
109.00,1.9037e-06
110.00,1.8114e-06
111.00,2.0027e-06
112.00,2.1735e-06
113.00,1.2968e-06
114.00,1.7209e-06
115.00,2.0163e-06
116.00,1.7112e-06
117.00,1.3431e-06
118.00,1.9511e-06
119.00,1.7719e-06
120.00,1.8644e-06
121.00,1.6545e-06
122.00,2.0410e-06
123.00,2.0562e-06
124.00,1.9538e-06
125.00,2.1949e-06
126.00,2.0511e-06
127.00,1.7316e-06
128.00,1.6913e-06
129.00,2.0553e-06
130.00,1.9330e-06
131.00,1.8760e-06
132.00,1.5737e-06
133.00,1.6204e-06
134.00,1.4397e-06
135.00,1.8496e-06
136.00,1.9036e-06
137.00,1.7705e-06
138.00,2.1912e-06
139.00,1.9991e-06
140.00,1.6620e-06
141.00,1.6003e-06
142.00,1.6653e-06
143.00,1.6622e-06
144.00,1.6211e-06
145.00,1.7424e-06
146.00,1.5534e-06
147.00,1.4426e-06
148.00,1.7385e-06
149.00,2.0953e-06
150.00,2.2998e-06
151.00,2.4035e-06
152.00,2.3305e-06
153.00,1.8797e-06
154.00,1.5346e-06
155.00,1.5817e-06
156.00,1.4921e-06
157.00,1.7198e-06
158.00,1.8462e-06
159.00,1.5626e-06
160.00,1.6000e-06
161.00,1.2281e-06
162.00,1.9350e-06
163.00,1.8115e-06
164.00,1.6204e-06
165.00,1.7175e-06
166.00,1.5891e-06
167.00,1.1501e-06
168.00,1.4029e-06
169.00,1.6257e-06
170.00,1.5511e-06
171.00,1.2073e-06
172.00,1.2647e-06
173.00,1.3915e-06
174.00,1.6900e-06
175.00,1.4286e-06
176.00,1.9342e-06
177.00,1.5003e-06
178.00,1.5910e-06
179.00,1.7963e-06
180.00,1.7449e-06
181.00,1.4386e-06
182.00,1.2010e-06
183.00,1.4785e-06
184.00,1.6583e-06
185.00,1.4823e-06
186.00,1.7464e-06
187.00,1.8788e-06
188.00,1.7379e-06
189.00,1.3326e-06
190.00,1.5688e-06
191.00,1.5087e-06
192.00,1.5975e-06
193.00,1.3993e-06
194.00,1.5661e-06
195.00,1.6147e-06
196.00,1.6458e-06
197.00,1.5074e-06
198.00,1.3493e-06
199.00,1.5005e-06
200.00,1.1986e-06
201.00,1.2959e-06
202.00,1.2450e-06
203.00,1.2897e-06
204.00,1.3771e-06
205.00,1.1689e-06
206.00,1.5824e-06
207.00,1.8831e-06
208.00,1.5091e-06
209.00,1.5427e-06
210.00,1.7554e-06
211.00,1.8373e-06
212.00,1.6906e-06
213.00,1.5003e-06
214.00,1.6394e-06
215.00,1.3929e-06
216.00,1.3894e-06
217.00,1.3512e-06
218.00,1.5464e-06
219.00,1.6836e-06
220.00,1.4798e-06
221.00,1.2565e-06
222.00,1.1286e-06
223.00,1.4394e-06
224.00,1.6127e-06
225.00,1.5892e-06
226.00,1.5111e-06
227.00,1.6235e-06
228.00,1.5391e-06
229.00,1.3506e-06
230.00,1.3865e-06
231.00,1.3037e-06
232.00,1.5405e-06
233.00,1.3994e-06
234.00,1.4388e-06
235.00,1.3474e-06
236.00,1.2462e-06
237.00,1.2371e-06
238.00,1.2186e-06
239.00,1.4204e-06
240.00,1.8227e-06
241.00,1.6297e-06
242.00,1.5255e-06
243.00,1.2943e-06
244.00,1.4052e-06
245.00,1.6210e-06
246.00,1.4319e-06
247.00,1.3261e-06
248.00,1.4215e-06
249.00,1.8347e-06
250.00,1.7176e-06
251.00,1.4907e-06
252.00,1.5056e-06
253.00,1.4105e-06
254.00,1.7072e-06
255.00,1.4092e-06
256.00,1.5764e-06
257.00,1.5287e-06
258.00,1.5339e-06
259.00,1.4480e-06
260.00,1.4178e-06
261.00,1.4403e-06
262.00,1.4730e-06
263.00,1.4663e-06
264.00,1.7617e-06
265.00,1.5035e-06
266.00,1.5239e-06
267.00,1.4991e-06
268.00,1.3557e-06
269.00,1.5947e-06
270.00,1.4770e-06
271.00,1.5609e-06
272.00,1.3460e-06
273.00,1.3927e-06
274.00,1.3332e-06
275.00,1.4492e-06
276.00,1.4600e-06
277.00,1.5322e-06
278.00,1.3852e-06
279.00,1.1458e-06
280.00,1.4119e-06
281.00,1.1403e-06
282.00,1.2480e-06
283.00,1.1047e-06
284.00,9.3581e-07
285.00,1.1645e-06
286.00,1.0430e-06
287.00,1.0301e-06
288.00,1.0772e-06
289.00,1.1232e-06
290.00,1.2657e-06
291.00,1.0096e-06
292.00,1.1253e-06
293.00,1.3135e-06
294.00,1.2257e-06
295.00,1.1767e-06
296.00,1.3068e-06
297.00,1.4659e-06
298.00,1.3971e-06
299.00,1.3902e-06
300.00,1.3627e-06
301.00,1.3112e-06
302.00,1.1895e-06
303.00,1.2528e-06
304.00,1.2694e-06
305.00,1.2345e-06
306.00,1.3734e-06
307.00,1.3658e-06
308.00,1.3006e-06
309.00,1.3855e-06
310.00,1.3228e-06
311.00,1.2004e-06
312.00,1.2822e-06
313.00,1.2422e-06
314.00,1.0277e-06
315.00,9.3654e-07
316.00,1.1058e-06
317.00,1.1192e-06
318.00,1.3403e-06
319.00,1.2788e-06
320.00,1.2219e-06
321.00,1.3442e-06
322.00,1.1971e-06
323.00,1.1641e-06
324.00,1.1724e-06
325.00,1.2635e-06
326.00,1.3416e-06
327.00,1.3996e-06
328.00,1.3968e-06
329.00,1.4097e-06
330.00,1.0241e-06
331.00,1.0741e-06
332.00,1.0902e-06
333.00,9.9836e-07
334.00,1.2083e-06
335.00,1.1182e-06
336.00,1.2652e-06
337.00,1.4292e-06
338.00,1.2783e-06
339.00,1.2017e-06
340.00,1.2015e-06
341.00,1.0062e-06
342.00,1.3773e-06
343.00,1.0470e-06
344.00,1.3078e-06
345.00,1.3187e-06
346.00,1.2675e-06
347.00,1.5010e-06
348.00,1.2064e-06
349.00,1.4124e-06
350.00,1.7102e-06
351.00,1.3322e-06
352.00,1.2060e-06
353.00,1.1157e-06
354.00,1.0466e-06
355.00,1.3292e-06
356.00,1.1063e-06
357.00,1.3445e-06
358.00,1.6330e-06
359.00,1.1350e-06
360.00,1.2688e-06
361.00,1.1732e-06
362.00,9.3380e-07
363.00,1.3402e-06
364.00,8.7923e-07
365.00,1.2983e-06
366.00,1.4337e-06
367.00,1.5873e-06
368.00,9.4697e-07
369.00,1.3812e-06
370.00,1.3290e-06
371.00,1.0588e-06
372.00,1.0019e-06
373.00,1.1287e-06
374.00,1.1554e-06
375.00,1.1969e-06
376.00,1.1834e-06
377.00,1.0915e-06
378.00,1.0897e-06
379.00,1.0925e-06
380.00,1.1063e-06
381.00,1.0120e-06
382.00,8.5837e-07
383.00,1.1435e-06
384.00,1.3923e-06
385.00,1.3235e-06
386.00,1.2053e-06
387.00,1.4546e-06
388.00,1.3111e-06
389.00,1.3400e-06
390.00,1.0063e-06
391.00,9.1245e-07
392.00,1.0322e-06
393.00,1.2055e-06
394.00,1.2195e-06
395.00,9.3659e-07
396.00,1.1676e-06
397.00,1.1870e-06
398.00,1.0557e-06
399.00,1.0921e-06
400.00,1.2618e-06
401.00,1.0287e-06
402.00,1.1746e-06
403.00,1.1603e-06
404.00,1.3438e-06
405.00,1.1396e-06
406.00,1.3358e-06
407.00,1.2264e-06
408.00,1.1156e-06
409.00,1.1879e-06
410.00,1.1670e-06
411.00,1.0618e-06
