"Reference","Value","Design value","Description","Footprint"
"C101","2u2","2.0 uF","Tank cap, tweeter notch","Capacitor_THT:C_Rect_L29.0mm_W13.0mm_P27.50mm_MKT"
"C102","3u3","5.6 uF (half)","C102 || C103 = 5.5 uF series cap","Capacitor_THT:C_Rect_L29.0mm_W13.0mm_P27.50mm_MKT"
"C103","2u2","5.6 uF (half)","C102 || C103 = 5.5 uF series cap","Capacitor_THT:C_Rect_L29.0mm_W13.0mm_P27.50mm_MKT"
"C104","6u8","10 uF (half)","C104 || C105 = 10.1 uF series cap","Capacitor_THT:C_Rect_L41.5mm_W20.0mm_P37.50mm_MKS4"
"C105","3u3","10 uF (half)","C104 || C105 = 10.1 uF series cap","Capacitor_THT:C_Rect_L29.0mm_W13.0mm_P27.50mm_MKT"
"C201","8u2","40 uF (fifth)","C201..C205 in parallel = 41 uF tank cap","Capacitor_THT:C_Rect_L41.5mm_W20.0mm_P37.50mm_MKS4"
"C202","8u2","40 uF (fifth)","C201..C205 in parallel = 41 uF tank cap","Capacitor_THT:C_Rect_L41.5mm_W20.0mm_P37.50mm_MKS4"
"C203","8u2","40 uF (fifth)","C201..C205 in parallel = 41 uF tank cap","Capacitor_THT:C_Rect_L41.5mm_W20.0mm_P37.50mm_MKS4"
"C204","8u2","40 uF (fifth)","C201..C205 in parallel = 41 uF tank cap","Capacitor_THT:C_Rect_L41.5mm_W20.0mm_P37.50mm_MKS4"
"C205","8u2","40 uF (fifth)","C201..C205 in parallel = 41 uF tank cap","Capacitor_THT:C_Rect_L41.5mm_W20.0mm_P37.50mm_MKS4"
"C206","8u2","12 uF (half)","C206 || C207 = 11.5 uF shunt cap","Capacitor_THT:C_Rect_L41.5mm_W20.0mm_P37.50mm_MKS4"
"C207","3u3","12 uF (half)","C206 || C207 = 11.5 uF shunt cap","Capacitor_THT:C_Rect_L29.0mm_W13.0mm_P27.50mm_MKT"
"J1","IN (amp)","","From Fosi V3 speaker output. Pin1 = IN+, Pin2 = IN- (common)","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm"
"J2","TWEETER","","Dayton RST28F-4, 4 ohm. Pin1 = +, Pin2 = -","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm"
"J3","WOOFER","","Dayton RS180P-8, 8 ohm. Pin1 = +, Pin2 = -","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm"
"L101","0.20mH","200 uH","Air core 0.8 mm wire, target DCR 0.29 ohm","crossover:L_OffBoard_P10.16mm"
"L102","0.25mH","250 uH","Air core 0.8 mm wire, target DCR 0.35 ohm","crossover:L_OffBoard_P10.16mm"
"L201","0.70mH","700 uH","Air core 0.8 mm wire, target DCR 0.60 ohm","crossover:L_OffBoard_P10.16mm"
"L202","2.0mH","2.0 mH","Air core 0.8 mm wire, target DCR 1.06 ohm","crossover:L_OffBoard_P10.16mm"
"R101","4R7 5W","10 ohm 10 W (half)","R101+R102 in series = 9.4 ohm / 10 W","Resistor_THT:R_Axial_Power_L25.0mm_W9.0mm_P30.48mm"
"R102","4R7 5W","10 ohm 10 W (half)","R101+R102 in series = 9.4 ohm / 10 W","Resistor_THT:R_Axial_Power_L25.0mm_W9.0mm_P30.48mm"
"R201","10R 5W","20 ohm 10 W (half)","R201+R202 in series = 20 ohm / 10 W","Resistor_THT:R_Axial_Power_L25.0mm_W9.0mm_P30.48mm"
"R202","10R 5W","20 ohm 10 W (half)","R201+R202 in series = 20 ohm / 10 W","Resistor_THT:R_Axial_Power_L25.0mm_W9.0mm_P30.48mm"
