 2.00000000e+01 -1.18109886e+02  2.00000000e+01 -1.18179971e+02  2.00000000e+01 -1.62495325e+00  2.00000000e+01 -1.62508632e+00 
 2.01154974e+01 -1.18009446e+02  2.01154974e+01 -1.18079531e+02  2.01154974e+01 -1.62498730e+00  2.01154974e+01 -1.62512190e+00 
 2.02316618e+01 -1.17909002e+02  2.02316618e+01 -1.17979087e+02  2.02316618e+01 -1.62502174e+00  2.02316618e+01 -1.62515790e+00 
 2.03484970e+01 -1.17808553e+02  2.03484970e+01 -1.17878638e+02  2.03484970e+01 -1.62505658e+00  2.03484970e+01 -1.62519432e+00 
 2.04660069e+01 -1.17708099e+02  2.04660069e+01 -1.17778184e+02  2.04660069e+01 -1.62509182e+00  2.04660069e+01 -1.62523115e+00 
 2.05841955e+01 -1.17607640e+02  2.05841955e+01 -1.17677726e+02  2.05841955e+01 -1.62512747e+00  2.05841955e+01 -1.62526841e+00 
 2.07030665e+01 -1.17507177e+02  2.07030665e+01 -1.17577262e+02  2.07030665e+01 -1.62516353e+00  2.07030665e+01 -1.62530611e+00 
 2.08226240e+01 -1.17406708e+02  2.08226240e+01 -1.17476794e+02  2.08226240e+01 -1.62520001e+00  2.08226240e+01 -1.62534424e+00 
 2.09428720e+01 -1.17306234e+02  2.09428720e+01 -1.17376320e+02  2.09428720e+01 -1.62523692e+00  2.09428720e+01 -1.62538281e+00 
 2.10638143e+01 -1.17205756e+02  2.10638143e+01 -1.17275841e+02  2.10638143e+01 -1.62527425e+00  2.10638143e+01 -1.62542184e+00 
 2.11854551e+01 -1.17105272e+02  2.11854551e+01 -1.17175358e+02  2.11854551e+01 -1.62531202e+00  2.11854551e+01 -1.62546131e+00 
 2.13077984e+01 -1.17004783e+02  2.13077984e+01 -1.17074869e+02  2.13077984e+01 -1.62535022e+00  2.13077984e+01 -1.62550124e+00 
 2.14308482e+01 -1.16904289e+02  2.14308482e+01 -1.16974375e+02  2.14308482e+01 -1.62538886e+00  2.14308482e+01 -1.62554163e+00 
 2.15546085e+01 -1.16803789e+02  2.15546085e+01 -1.16873875e+02  2.15546085e+01 -1.62542796e+00  2.15546085e+01 -1.62558249e+00 
 2.16790836e+01 -1.16703284e+02  2.16790836e+01 -1.16773370e+02  2.16790836e+01 -1.62546750e+00  2.16790836e+01 -1.62562383e+00 
 2.18042775e+01 -1.16602774e+02  2.18042775e+01 -1.16672860e+02  2.18042775e+01 -1.62550751e+00  2.18042775e+01 -1.62566564e+00 
 2.19301943e+01 -1.16502258e+02  2.19301943e+01 -1.16572344e+02  2.19301943e+01 -1.62554798e+00  2.19301943e+01 -1.62570794e+00 
 2.20568384e+01 -1.16401736e+02  2.20568384e+01 -1.16471823e+02  2.20568384e+01 -1.62558892e+00  2.20568384e+01 -1.62575073e+00 
 2.21842137e+01 -1.16301209e+02  2.21842137e+01 -1.16371296e+02  2.21842137e+01 -1.62563033e+00  2.21842137e+01 -1.62579402e+00 
 2.23123247e+01 -1.16200677e+02  2.23123247e+01 -1.16270763e+02  2.23123247e+01 -1.62567222e+00  2.23123247e+01 -1.62583780e+00 
 2.24411755e+01 -1.16100138e+02  2.24411755e+01 -1.16170225e+02  2.24411755e+01 -1.62571460e+00  2.24411755e+01 -1.62588210e+00 
 2.25707703e+01 -1.15999594e+02  2.25707703e+01 -1.16069680e+02  2.25707703e+01 -1.62575747e+00  2.25707703e+01 -1.62592691e+00 
 2.27011136e+01 -1.15899044e+02  2.27011136e+01 -1.15969130e+02  2.27011136e+01 -1.62580084e+00  2.27011136e+01 -1.62597223e+00 
 2.28322096e+01 -1.15798487e+02  2.28322096e+01 -1.15868574e+02  2.28322096e+01 -1.62584471e+00  2.28322096e+01 -1.62601809e+00 
 2.29640626e+01 -1.15697925e+02  2.29640626e+01 -1.15768012e+02  2.29640626e+01 -1.62588908e+00  2.29640626e+01 -1.62606447e+00 
 2.30966771e+01 -1.15597357e+02  2.30966771e+01 -1.15667444e+02  2.30966771e+01 -1.62593398e+00  2.30966771e+01 -1.62611139e+00 
 2.32300574e+01 -1.15496783e+02  2.32300574e+01 -1.15566869e+02  2.32300574e+01 -1.62597939e+00  2.32300574e+01 -1.62615886e+00 
 2.33642080e+01 -1.15396202e+02  2.33642080e+01 -1.15466289e+02  2.33642080e+01 -1.62602533e+00  2.33642080e+01 -1.62620687e+00 
 2.34991333e+01 -1.15295615e+02  2.34991333e+01 -1.15365702e+02  2.34991333e+01 -1.62607180e+00  2.34991333e+01 -1.62625545e+00 
 2.36348377e+01 -1.15195022e+02  2.36348377e+01 -1.15265109e+02  2.36348377e+01 -1.62611881e+00  2.36348377e+01 -1.62630458e+00 
 2.37713258e+01 -1.15094422e+02  2.37713258e+01 -1.15164509e+02  2.37713258e+01 -1.62616637e+00  2.37713258e+01 -1.62635429e+00 
 2.39086021e+01 -1.14993816e+02  2.39086021e+01 -1.15063903e+02  2.39086021e+01 -1.62621447e+00  2.39086021e+01 -1.62640457e+00 
 2.40466712e+01 -1.14893203e+02  2.40466712e+01 -1.14963290e+02  2.40466712e+01 -1.62626314e+00  2.40466712e+01 -1.62645543e+00 
 2.41855376e+01 -1.14792583e+02  2.41855376e+01 -1.14862671e+02  2.41855376e+01 -1.62631237e+00  2.41855376e+01 -1.62650689e+00 
 2.43252059e+01 -1.14691957e+02  2.43252059e+01 -1.14762045e+02  2.43252059e+01 -1.62636217e+00  2.43252059e+01 -1.62655894e+00 
 2.44656809e+01 -1.14591324e+02  2.44656809e+01 -1.14661412e+02  2.44656809e+01 -1.62641255e+00  2.44656809e+01 -1.62661159e+00 
 2.46069670e+01 -1.14490684e+02  2.46069670e+01 -1.14560772e+02  2.46069670e+01 -1.62646351e+00  2.46069670e+01 -1.62666485e+00 
