Category,Subcategory,Part_Number,Value,Description
Resistor,E96 Standard,1R00,1Ω,1/4W Through-hole
Resistor,E96 Standard,1R02,1.02Ω,1/4W Through-hole
Resistor,E96 Standard,1R05,1.05Ω,1/4W Through-hole
Resistor,E96 Standard,1R07,1.07Ω,1/4W Through-hole
Resistor,E96 Standard,1R10,1.1Ω,1/4W Through-hole
Resistor,E96 Standard,1R13,1.13Ω,1/4W Through-hole
Resistor,E96 Standard,1R18,1.18Ω,1/4W Through-hole
Resistor,E96 Standard,1R21,1.21Ω,1/4W Through-hole
Resistor,E96 Standard,1R24,1.24Ω,1/4W Through-hole
Resistor,E96 Standard,1R27,1.27Ω,1/4W Through-hole
Resistor,E96 Standard,1R30,1.3Ω,1/4W Through-hole
Resistor,E96 Standard,1R33,1.33Ω,1/4W Through-hole
Resistor,E96 Standard,1R37,1.37Ω,1/4W Through-hole
Resistor,E96 Standard,1R40,1.4Ω,1/4W Through-hole
Resistor,E96 Standard,1R43,1.43Ω,1/4W Through-hole
Resistor,E96 Standard,1R47,1.47Ω,1/4W Through-hole
Resistor,E96 Standard,1R50,1.5Ω,1/4W Through-hole
Resistor,E96 Standard,1R54,1.54Ω,1/4W Through-hole
Resistor,E96 Standard,1R58,1.58Ω,1/4W Through-hole
Resistor,E96 Standard,1R62,1.62Ω,1/4W Through-hole
Resistor,E96 Standard,1R65,1.65Ω,1/4W Through-hole
Resistor,E96 Standard,1R69,1.69Ω,1/4W Through-hole
Resistor,E96 Standard,1R74,1.74Ω,1/4W Through-hole
Resistor,E96 Standard,1R78,1.78Ω,1/4W Through-hole
Resistor,E96 Standard,1R82,1.82Ω,1/4W Through-hole
Resistor,E96 Standard,1R87,1.87Ω,1/4W Through-hole
Resistor,E96 Standard,1R91,1.91Ω,1/4W Through-hole
Resistor,E96 Standard,1R96,1.96Ω,1/4W Through-hole
Resistor,E96 Standard,2R00,2Ω,1/4W Through-hole
Resistor,E96 Standard,2R05,2.05Ω,1/4W Through-hole
Resistor,E96 Standard,2R10,2.1Ω,1/4W Through-hole
Resistor,E96 Standard,2R15,2.15Ω,1/4W Through-hole
Resistor,E96 Standard,2R21,2.21Ω,1/4W Through-hole
Resistor,E96 Standard,2R26,2.26Ω,1/4W Through-hole
Resistor,E96 Standard,2R32,2.32Ω,1/4W Through-hole
Resistor,E96 Standard,2R37,2.37Ω,1/4W Through-hole
Resistor,E96 Standard,2R43,2.43Ω,1/4W Through-hole
Resistor,E96 Standard,2R49,2.49Ω,1/4W Through-hole
Resistor,E96 Standard,2R55,2.55Ω,1/4W Through-hole
Resistor,E96 Standard,2R61,2.61Ω,1/4W Through-hole
Resistor,E96 Standard,2R67,2.67Ω,1/4W Through-hole
Resistor,E96 Standard,2R74,2.74Ω,1/4W Through-hole
Resistor,E96 Standard,2R80,2.8Ω,1/4W Through-hole
Resistor,E96 Standard,2R87,2.87Ω,1/4W Through-hole
Resistor,E96 Standard,2R94,2.94Ω,1/4W Through-hole
Resistor,E96 Standard,3R01,3.01Ω,1/4W Through-hole
Resistor,E96 Standard,3R09,3.09Ω,1/4W Through-hole
Resistor,E96 Standard,3R16,3.16Ω,1/4W Through-hole
Resistor,E96 Standard,3R24,3.24Ω,1/4W Through-hole
Resistor,E96 Standard,3R32,3.32Ω,1/4W Through-hole
Resistor,E96 Standard,3R40,3.4Ω,1/4W Through-hole
Resistor,E96 Standard,3R48,3.48Ω,1/4W Through-hole
Resistor,E96 Standard,3R57,3.57Ω,1/4W Through-hole
Resistor,E96 Standard,3R65,3.65Ω,1/4W Through-hole
Resistor,E96 Standard,3R74,3.74Ω,1/4W Through-hole
Resistor,E96 Standard,3R83,3.83Ω,1/4W Through-hole
Resistor,E96 Standard,3R92,3.92Ω,1/4W Through-hole
Resistor,E96 Standard,4R02,4.02Ω,1/4W Through-hole
Resistor,E96 Standard,4R12,4.12Ω,1/4W Through-hole
Resistor,E96 Standard,4R22,4.22Ω,1/4W Through-hole
Resistor,E96 Standard,4R32,4.32Ω,1/4W Through-hole
Resistor,E96 Standard,4R42,4.42Ω,1/4W Through-hole
Resistor,E96 Standard,4R53,4.53Ω,1/4W Through-hole
Resistor,E96 Standard,4R64,4.64Ω,1/4W Through-hole
Resistor,E96 Standard,4R75,4.75Ω,1/4W Through-hole
Resistor,E96 Standard,4R87,4.87Ω,1/4W Through-hole
Resistor,E96 Standard,4R99,4.99Ω,1/4W Through-hole
Resistor,E96 Standard,5R11,5.11Ω,1/4W Through-hole
Resistor,E96 Standard,5R23,5.23Ω,1/4W Through-hole
Resistor,E96 Standard,5R36,5.36Ω,1/4W Through-hole
Resistor,E96 Standard,5R49,5.49Ω,1/4W Through-hole
Resistor,E96 Standard,5R62,5.62Ω,1/4W Through-hole
Resistor,E96 Standard,5R76,5.76Ω,1/4W Through-hole
Resistor,E96 Standard,5R90,5.9Ω,1/4W Through-hole
Resistor,E96 Standard,6R04,6.04Ω,1/4W Through-hole
Resistor,E96 Standard,6R19,6.19Ω,1/4W Through-hole
Resistor,E96 Standard,6R34,6.34Ω,1/4W Through-hole
